	RE	RS	RX	RT
Homeless Facilities\Homeless Day Centers	-	-	-	-
"Homeless Facilities\Hospitals, Intermediate Care Facilities & Nursing Facilities"	-	-	-	-
Interpretive Centers	-	-	-	-
Museums	C	C	C	C
"Major Transmission, Relay, or Communications Switching Stations"	-	-	-	-
Placemaking on Private Property	L	L	L	L
Satellite Antennas	L	L	L	L
Social Service Institutions	-	-	-	-
Solar Energy Systems	L	L	L	L
Wireless Communication Facilities	See Section 141.0420			
Retail Sales\Building Supplies & Equipment	-	-	-	-
"Retail Sales\Food, Beverages and Groceries"	-	-	-	-
"Retail Sales\Consumer Goods, Furniture, Appliances, Equipment"	-	-	-	-
Retail Sales\Pets & Pet Supplies	-	-	-	-
"Retail Sales\Sundries, Pharmaceuticals, & Convenience Sales"	-	-	-	-
Retail Sales\Wearing Apparel & Accessories	-	-	-	-
Separately Regulated Retail Sales Uses\Agriculture Related Supplies & Equipment	-	-	-	-
Separately Regulated Retail Sales Uses\Alcoholic Beverage Outlets	-	-	-	-
Farmers’ Markets\Weekly Farmers’ Markets	-	-	-	-
Farmers’ Markets\Daily Farmers’ Market Stands	-	-	-	-
Farmers’ Markets\Marijuana Outlets	-	-	-	-
Farmers’ Markets\Plant Nurseries	-	-	-	-
Farmers’ Markets\Retail Farms	-	-	-	-
Farmers’ Markets\Retail Tasting Stores	-	-	-	-
Farmers’ Markets\Swap Meets & Other Large Outdoor Retail Facilities	-	-	-	-
Commercial Services\Building Services	-	-	-	-
Commercial Services\Business Support	-	-	-	-
Commercial Services\Eating & Drinking Establishments	-	-	-	-
Commercial Services\Financial Institutions	-	-	-	-
Commercial Services\Funeral & Mortuary Services	-	-	-	-
Commercial Services\Instructional Studios	-	-	-	-
Commercial Services\Maintenance & Repair	-	-	-	-
Commercial Services\Off-Site Services	-	-	-	-
Commercial Services\Personal Services	-	-	-	-
Commercial Services\Radio & Television Studios	-	-	-	-
Commercial Services\Tasting Rooms	-	-	-	-
Commercial Services\Visitor Accommodations	-	-	-	-
Adult Entertainment Establishments\Adult Book Store	-	-	-	-
Adult Entertainment Establishments\Adult Cabaret	-	-	-	-
Adult Entertainment Establishments\Adult Drive-In Theater	-	-	-	-
Adult Entertainment Establishments\Adult Mini-Motion Picture Theater	-	-	-	-
Adult Entertainment Establishments\Adult Model Studio	-	-	-	-
Adult Entertainment Establishments\Adult Motel	-	-	-	-
Adult Entertainment Establishments\Adult Motion Picture Theater	-	-	-	-
Adult Entertainment Establishments\Adult Peep Show Theater	-	-	-	-
Adult Entertainment Establishments\Adult Theater	-	-	-	-
Adult Entertainment Establishments\Body Painting Studio	-	-	-	-
Adult Entertainment Establishments\Massage Establishment	-	-	-	-
Adult Entertainment Establishments\Sexual Encounter Establishment	-	-	-	-
"Adult Entertainment Establishments\Assembly and Entertainment Uses, Including Places of Religious Assembly"	-	-	-	-
Bed & Breakfast Establishments\1-2 Guest Rooms	N	N	N	-
Bed & Breakfast Establishments\3-5 Guest Rooms	N	C	C	-
Bed & Breakfast Establishments\6+ Guest Rooms	C	C	-	-
Bed & Breakfast Establishments\Boarding Kennels / Pet Day Care	-	-	-	-
Bed & Breakfast Establishments\Camping Parks	-	-	-	-
Child Care Facilities\Child Care Centers	C	C	C	C
Child Care Facilities\Large Family Child Care Homes	L	L	L	L
Child Care Facilities\Small Family Child Care Homes	L	L	L	L
Child Care Facilities\Eating and Drinking Establishments with a Drive-in or Drive-through Component	-	-	-	-
Child Care Facilities\Fairgrounds	-	-	-	-
"Child Care Facilities\Golf Courses, Driving Ranges, and Pitch & Putt Courses"	C	C	C	C
Child Care Facilities\Helicopter Landing Facilities	-	-	-	-
"Child Care Facilities\Massage Establishments, Specialized Practice"	-	-	-	-
Child Care Facilities\Mobile Food Trucks	-	-	-	-
"Child Care Facilities\Nightclubs & Bars over 5,000 square feet in size"	-	-	-	-
Parking Facilities as a Primary Use\Permanent Parking Facilities	-	-	-	-
Parking Facilities as a Primary Use\Temporary Parking Facilities	-	-	-	-
"Parking Facilities as a Primary Use\Private Clubs, Lodges and Fraternal Organizations"	-	-	-	-
"Parking Facilities as a Primary Use\Privately Operated, Outdoor Recreation Facilities Over 40,000 Square Feet in Size(4)"	-	-	-	-
Pushcarts\Pushcarts on Private Property	-	-	-	-
Pushcarts\Pushcarts in Public Right-of-Way	-	-	-	-
Recycling Facilities\Large Collection Facility	-	-	-	-
Recycling Facilities\Small Collection Facility	-	-	-	-
Recycling Facilities\Large Construction & Demolition Debris Recycling Facility	-	-	-	-
Recycling Facilities\Small Construction & Demolition Debris Recycling Facility	-	-	-	-
Recycling Facilities\Drop-off Facility	-	-	-	-
Recycling Facilities\Green Materials Composting Facility	-	-	-	-
Recycling Facilities\Mixed Organic Composting Facility	-	-	-	-
Recycling Facilities\Large Processing Facility Accepting at Least 98% of Total Annual Weight of Recyclables from Commercial & Industrial Traffic	-	-	-	-
Recycling Facilities\Large Processing Facility Accepting All Types of Traffic	-	-	-	-
Recycling Facilities\Small Processing Facility Accepting at Least 98% of Total Annual Weight of Recyclables From Commercial & Industrial Traffic	-	-	-	-
Recycling Facilities\Small Processing Facility Accepting All Types of Traffic	-	-	-	-
Recycling Facilities\Reverse Vending Machines	-	-	-	-
Recycling Facilities\Tire Processing Facility	-	-	-	-
Recycling Facilities\Sidewalk Cafes	-	-	-	-
Recycling Facilities\Sports Arenas & Stadiums	-	-	-	-
"Recycling Facilities\Theaters that are Outdoor or Over 5,000 Square Feet in Size"	-	-	-	-
Recycling Facilities\Urgent Care Facilities	-	-	-	-
Recycling Facilities\Veterinary Clinics & Animal Hospitals	-	-	-	-
Recycling Facilities\Zoological Parks	-	-	-	-
Offices\Business & Professional	-	-	-	-
Offices\Government	-	-	-	-
"Offices\Medical, Dental, & Health Practitioner"	-	-	-	-
Offices\Regional & Corporate Headquarters	-	-	-	-
Separately Regulated Office Uses\Real Estate Sales Offices & Model Homes	L	L	L	L
Separately Regulated Office Uses\Sex Offender Treatment & Counseling	-	-	-	-
Vehicle & Vehicular Equipment Sales & Service\Commercial Vehicle Repair & Maintenance	-	-	-	-
Vehicle & Vehicular Equipment Sales & Service\Commercial Vehicle Sales & Rentals	-	-	-	-
Vehicle & Vehicular Equipment Sales & Service\Personal Vehicle Repair & Maintenance	-	-	-	-
Vehicle & Vehicular Equipment Sales & Service\Personal Vehicle Sales & Rentals	-	-	-	-
Vehicle & Vehicular Equipment Sales & Service\Vehicle Equipment & Supplies Sales & Rentals	-	-	-	-
Separately Regulated Vehicle & Vehicular Equipment Sales & Service Uses\Automobile Service Stations	-	-	-	-
"Separately Regulated Vehicle & Vehicular Equipment Sales & Service Uses\Outdoor Storage & Display of New, Unregistered Motor Vehicles as a Primary Use"	-	-	-	-
Distribution and Storage\Equipment & Materials Storage Yards	-	-	-	-
Distribution and Storage\Moving & Storage Facilities	-	-	-	-
Distribution and Storage\Distribution Facilities	-	-	-	-
Separately Regulated Distribution and Storage Uses\Impound Storage Yards	-	-	-	-
Separately Regulated Distribution and Storage Uses\Junk Yards	-	-	-	-
Separately Regulated Distribution and Storage Uses\Processing & Packaging of Plant Products & Animal By-products Grown Off-premises	-	-	-	-
Separately Regulated Distribution and Storage Uses\Very Heavy Industrial Uses	-	-	-	-
Separately Regulated Distribution and Storage Uses\Wrecking & Dismantling of Motor Vehicles	-	-	-	-
Signs\Allowable Signs	P	P	P	P
Separately Regulated Signs Uses\Community Entry Signs	L	L	L	L
Separately Regulated Signs Uses\Neighborhood Identification Signs	N	N	N	N
Separately Regulated Signs Uses\Comprehensive Sign Program	-	-	-	-
Separately Regulated Signs Uses\Revolving Projecting Signs	-	-	-	-
Separately Regulated Signs Uses\Signs with Automatic Changing Copy	-	-	-	-
Separately Regulated Signs Uses\Theater Marquees	-	-	-	-
