	IP-1-1	IP-2-1	IP-3-1	IL-1-1	IL-2-1	IL-3-1	IH-1-1	IH-2-1	IS-1-1	IBT-1-1
Homeless Facilities\Social Service Institutions	C	C	C	C	C	C	-	-	C	-
Homeless Facilities\Solar Energy Systems	L	L	L	L	L	L	L	L	L	L
Homeless Facilities\Wireless Communication Facilities	See Section 141.0420									
Retail Sales\Building Supplies & Equipment	-	-	-	P(See Section 131.0623(f).)(Development of a large retail establishment is subject to Section 143.0302.)	P(Development of a large retail establishment is subject to Section 143.0302.)	P(Development of a large retail establishment is subject to Section 143.0302.)	-	P(See Section 131.0623(f).)(Development of a large retail establishment is subject to Section 143.0302.)	P(Development of a large retail establishment is subject to Section 143.0302.)	-
"Retail Sales\Food, Beverages and Groceries"	P(Development of a large retail establishment is subject to Section 143.0302.)(See Section 131.0623(m).)	P(Development of a large retail establishment is subject to Section 143.0302.)(See Section 131.0623(m).)	P(Development of a large retail establishment is subject to Section 143.0302.)(See Section 131.0623(m).)	P(Development of a large retail establishment is subject to Section 143.0302.)(See Section 131.0623(m).)	P(Development of a large retail establishment is subject to Section 143.0302.)(See Section 131.0623(m).)	P(Development of a large retail establishment is subject to Section 143.0302.)(See Section 131.0623(m).)	-	-	-	-
"Retail Sales\Consumer Goods, Furniture, Appliances, Equipment"	-	-	-	-	"P(Household and office furniture)(appliances)(and equipment sales establishments shall occupy an area of at least 5,000 square feet in gross floor area unless the sales are of items that are manufactured on the same premises.)(Development of a large retail establishment is subject to Section 143.0302.)"	P(Development of a large retail establishment is subject to Section 143.0302.)	-	-	P(See Section 131.0623(g).)(Development of a large retail establishment is subject to Section 143.0302.)	-
Retail Sales\Pets & Pet Supplies	-	-	-	-	-	P(Development of a large retail establishment is subject to Section 143.0302.)	-	-	-	-
"Retail Sales\Sundries, Pharmaceuticals, & Convenience Sales"	P(See Section 131.0623(a).)(Development of a large retail establishment is subject to Section 143.0302.)									
Retail Sales	P(See Section 131.0623(a).)(Development of a large retail establishment is subject to Section 143.0302.)	P(See Section 131.0623(a).)(Development of a large retail establishment is subject to Section 143.0302.)	P(See Section 131.0623(a).)(Development of a large retail establishment is subject to Section 143.0302.)	P(See Section 131.0623(a).)(Development of a large retail establishment is subject to Section 143.0302.)	P(Development of a large retail establishment is subject to Section 143.0302.)	P(See Section 131.0623(a).)(Development of a large retail establishment is subject to Section 143.0302.)	P(See Section 131.0623(a).)(Development of a large retail establishment is subject to Section 143.0302.)	P(See Section 131.0623(h))(Development of a large retail establishment is subject to Section 143.0302.)	-	
Retail Sales\Wearing Apparel & Accessories	-	-	-	-	P(See Section 131.0623(g).)(Development of a large retail establishment is subject to Section 143.0302.)	P(See Section 131.0623(g).)(Development of a large retail establishment is subject to Section 143.0302.)	-	-	P(See Section 131.0623(g).)(Development of a large retail establishment is subject to Section 143.0302.)	-
Separately Regulated Retail Sales Uses\Agriculture Related Supplies & Equipment	-	-	-	-	P	P	P	P	P	-
Separately Regulated Retail Sales Uses\Alcoholic Beverage Outlets	-	-	-	-	L	L	-	-	-	-
Separately Regulated Retail Sales Uses\Cannabis Outlets	-	-	-	-	-	C	-	-	C	C
Farmers’ Markets\Weekly Farmers’ Market	L	L	L	L	L	L	-	-	-	-
Farmers’ Markets\Daily Farmers’ Market Stands	-	-	-	L	L	L	-	-	-	-
Farmers’ Markets\Plant Nurseries	-	-	-	-	-	P	-	P	P	-
Farmers’ Markets\Retail Farms	-	-	-	-	-	L	-	-	-	-
Farmers’ Markets\Retail Tasting Stores	-	-	-	L	L	L	-	-	L	-
Farmers’ Markets\Swap Meets & Other Large Outdoor Retail Facilities	-	-	-	C	C	C	C	C	C	-
Commercial Services\Building Services	-	-	-	P	P	P	-	P	P	P
Commercial Services\Business Support	P(See Section 131.0623(c).)	P(See Section 131.0623(c).)	P(See Section 131.0623(c).)	P(See Section 131.0623(c).)	P	P	-	P(See Section 131.0623(c).)	P	P(See Section 131.0623(c).)
Commercial Services\Eating & Drinking Establishments	P(See Section 131.0623(b).)(Eating and drinking establishments abutting residential development located in a residential zone may operate only between 6:00 a.m. and 12:00 midnight.)									
Commercial Services\16)	P(See Section 131.0623(b).)(Eating and drinking establishments abutting residential development located in a residential zone may operate only between 6:00 a.m. and 12:00 midnight.)	P(See Section 131.0623(b).)(Eating and drinking establishments abutting residential development located in a residential zone may operate only between 6:00 a.m. and 12:00 midnight.)	P(See Section 131.0623(b).)(Eating and drinking establishments abutting residential development located in a residential zone may operate only between 6:00 a.m. and 12:00 midnight.)	P(See Section 131.0623(b).)(Eating and drinking establishments abutting residential development located in a residential zone may operate only between 6:00 a.m. and 12:00 midnight.)	P(Eating and drinking establishments abutting residential development located in a residential zone may operate only between 6:00 a.m. and 12:00 midnight.)	-	P(See Section 131.0623(b).)	P(See Section 131.0623(h))(Eating and drinking establishments abutting residential development located in a residential zone may operate only between 6:00 a.m. and 12:00 midnight.)	P(See Section 131.0623(b).)(Eating and drinking establishments abutting residential development located in a residential zone may operate only between 6:00 a.m. and 12:00 midnight.)	
Commercial Services\Financial Institutions	-	P	-	P	P	P	-	-	P	P
Commercial Services\Funeral & Mortuary Services	-	-	-	-	P19	P	-	P	-	-
Commercial Services\Instructional Studios	P(See Section 131.0623(n).)	P(See Section 131.0623(n).)	P(See Section 131.0623(n).)	P(See Section 131.0623(n).)	P(See Section 131.0623(n).)	P(See Section 131.0623(n).)	-	-	P	-
Commercial Services\Maintenance & Repair	-	-	-	P	P	P	-	-	P	P
Commercial Services\Off-site Services	-	P	-	P	P	P	-	P	P	P
Commercial Services\Personal Services	P(See Section 131.0623(d).)	P(See Section 131.0623(d).)	P(See Section 131.0623(d).)	P(See Section 131.0623(d).)	P(See Section 131.0623(d).)	P(See Section 131.0623(d).)	-	-	-	-
Commercial Services\Radio & Television Studios	-	P	-	P	P	P	-	P	P	P
Commercial Services\Tasting Rooms	P(Tasting rooms are only permitted as an accessory use to a beverage manufacturing plant.)	P(Tasting rooms are only permitted as an accessory use to a beverage manufacturing plant.)	P( 18)	P(Tasting rooms are only permitted as an accessory use to a beverage manufacturing plant.)	P(Tasting rooms are only permitted as an accessory use to a beverage manufacturing plant.)	P(Tasting rooms are only permitted as an accessory use to a beverage manufacturing plant.)	P(Tasting rooms are only permitted as an accessory use to a beverage manufacturing plant.)	P(Tasting rooms are only permitted as an accessory use to a beverage manufacturing plant.)	P(Tasting rooms are only permitted as an accessory use to a beverage manufacturing plant.)	P(Tasting rooms are only permitted as an accessory use to a beverage manufacturing plant.)
Commercial Services\Visitor Accommodations	-	-	-	-	-	-	-	-	-	-
Adult Entertainment Establishments\Adult Book Store	-	-	-	-	L	L	-	L	L	-
Adult Entertainment Establishments\Adult Cabaret	-	-	-	-	-	L	-	-	-	-
Adult Entertainment Establishments\Adult Drive-in Theater	-	-	-	-	L	L	-	-	-	-
Adult Entertainment Establishments\Adult Mini-Motion Picture Theater	-	-	-	-	L	L	-	-	L	-
Adult Entertainment Establishments\Adult Model Studio	-	-	-	-	L	L	-	-	-	-
Adult Entertainment Establishments\Adult Motel	-	-	-	-	-	-	-	-	-	-
Adult Entertainment Establishments\Adult Motion Picture Theater	-	-	-	-	L	L	-	-	L	-
Adult Entertainment Establishments\Adult Peep Show Theater	-	-	-	-	L	L	-	-	L	-
Adult Entertainment Establishments\Adult Theater	-	-	-	-	L	L	-	-	L	-
Adult Entertainment Establishments\Body Painting Studio	-	-	-	-	L	L	-	-	-	-
Adult Entertainment Establishments\Massage Establishment	-	-	-	-	-	L	-	-	-	-
Adult Entertainment Establishments\Sexual Encounter Establishment	-	-	-	-	-	-	-	-	-	-
"Adult Entertainment Establishments\Assembly and Entertainment Uses, Including Places of Religious Assembly"	L	L	L	L	L	L	-	-	L	-
Bed & Breakfast Establishments\1-2 Guest Rooms	-	-	-	-	-	-	-	-	-	-
Bed & Breakfast Establishments\3-5 Guest Rooms	-	-	-	-	-	-	-	-	-	-
Bed & Breakfast Establishments\6+ Guest Rooms	-	-	-	-	-	-	-	-	-	-
Bed & Breakfast Establishments\Boarding Kennels/Pet Day Care Facilities	N	N	N	N	L	L	N	N	N	N
Bed & Breakfast Establishments\Camping Parks	-	-	-	-	-	-	-	-	-	-
Child Care Facilities\Child Care Centers	C	C	C	-	C	C	-	C	C	C
Child Care Facilities\Large Family Child Care Homes	-	-	L	-	-	-	-	-	-	-
Child Care Facilities\Small Family Child Care Homes	-	-	L	-	-	-	-	-	-	-
Child Care Facilities\Eating and Drinking Establishments with a Drive-in or Drive-through Component	-	C	C	C	C	P	-	C	-	C
Child Care Facilities\Fairgrounds	-	C	-	C	C	C	C	C	C	-
"Child Care Facilities\Golf Courses, Driving Ranges, and Pitch & Putt Courses"	-	C	-	C	C	C	C	C	C	-
Child Care Facilities\Helicopter Landing Facilities	C	C	C	C	C	C	C	C	C	C
"Child Care Facilities\Massage Establishments, Specialized Practice"	-	-	-	-	-	L	-	-	-	-
Child Care Facilities\Mobile Food Trucks	P	P	P	P	P	P	P	P	P	P
"Child Care Facilities\Nightclubs & Bars over 5,000 square feet in size"	-	-	-	-	-	-	-	-	-	-
Parking Facilities as a Primary Use\Permanent Parking Facilities	C	C	C	P	C	P	P	P	C	C
Parking Facilities as a Primary Use\Temporary Parking Facilities	C	C	C	N	C	N	N	N	C	N
"Parking Facilities as a Primary Use\Private Clubs, Lodges and Fraternal Organizations"	-	C	-	C	C	C	C	C	C	C
"Parking Facilities as a Primary Use\Privately Operated, Outdoor Recreation Facilities over 40,000 square feet in size(Development of a large retail establishment is subject to Section 143.0302.)"	C	C	C	C	C	C	C	C	C	-
Pushcarts\Pushcarts on Private Property	L	L	L	L	L	L	L	L	L	L
Pushcarts\Pushcarts in Public Right-of-Way	N	N	N	N	N	N	N	N	N	N
Recycling Facilities\Large Collection Facility	L	N	L	N	N	N	L	L	N	N
Recycling Facilities\Small Collection Facility	L	L	L	L	L	L	L	L	L	L
Large Construction & Demolition Debris\Recycling Facility	-	-	-	N	-	C	C	N	-	C
Small Construction & Demolition Debris\Recycling Facility	-	-	-	N	-	C	N	N	-	C
Small Construction & Demolition Debris\Drop-off Facility	L	L	L	L	L	L	L	L	L	L
Small Construction & Demolition Debris\Green Materials Composting Facility	-	-	-	N	-	N	N	N	-	N
Small Construction & Demolition Debris\Mixed Organic Composting Facility	-	-	-	C	-	C	N	N	-	C
Small Construction & Demolition Debris\Large Processing Facility Accepting at Least 98% of Total Annual Weight of Recyclables from Commercial & Industrial Traffic	-	C	-	L	L	L	L	L	C	L
Small Construction & Demolition Debris\Large Processing Facility Accepting All Types of Traffic	-	C	-	N	N	N	N	N	C	L
Small Construction & Demolition Debris\Small Processing Facility Accepting at Least 98% of Total Annual Weight of Recyclables From Commercial & Industrial Traffic	-	N	-	L	L	L	L	L	N	L
Small Construction & Demolition Debris\Small Processing Facility Accepting All Types of Traffic	-	N	-	N	N	N	N	N	N	N
Small Construction & Demolition Debris\Reverse Vending Machines	L	L	L	L	L	L	L	L	L	L
Small Construction & Demolition Debris\Tire Processing Facility	-	-	-	C	-	C	C	C	-	-
Small Construction & Demolition Debris\Sidewalk Cafes	-	L	-	L	L	L	-	L	L	L
"Small Construction & Demolition Debris\Theaters that are outdoor or over 5,000 square feet in size"	-	C	-	-	C	C	-	C	-	-
Small Construction & Demolition Debris\Sports Arenas & Stadiums	-	C	-	-	C	C	-	C	-	-
Small Construction & Demolition Debris\Urgent Care Facilities	-	L	-	-	L	P	-	L	L	-
Small Construction & Demolition Debris\Veterinary Clinics & Animal Hospitals	-	N	-	N	L	L	N	N	N	N
Small Construction & Demolition Debris\Zoological Parks	-	-	-	-	-	-	-	-	-	-
Offices\Business & Professional	-	P	P	-	P	P	-	-	P	P
Offices\Government	-	P	P	-	P	P	-	P	P	P
"Offices\Medical, Dental, & Health Practitioner"	-	-	-	-	P	P	-	-	P	P
Offices\Regional & Corporate Headquarters	"P(A regional and corporate headquarters establishment shall have a gross floor area of at least 40,000 square feet.)"	P	"P(A regional and corporate headquarters establishment shall have a gross floor area of at least 40,000 square feet.)"	"P(A regional and corporate headquarters establishment shall have a gross floor area of at least 40,000 square feet.)"	P	P	-	P(Only one regional and corporate headquarters establishment is permitted on an individual parcel of land.)	P	"P(A regional and corporate headquarters establishment shall have a gross floor area of at least 40,000 square feet.)"
Separately Regulated Office Uses\Real Estate Sales Offices & Model Homes	-	-	-	-	-	-	-	-	-	-
Separately Regulated Office Uses\Sex Offender Treatment and Counseling Facilities	-	L	-	-	L	L	-	-	L	-
Vehicle & Vehicular Equipment Sales & Service\Commercial Vehicle Repair & Maintenance	-	-	-	P	P	P	P	P	P	P
Vehicle & Vehicular Equipment Sales & Service\Commercial Vehicle Sales & Rentals	-	-	-	P	P	P	P	P	P	-
Vehicle & Vehicular Equipment Sales & Service\Personal Vehicle Repair & Maintenance	-	-	-	P	P	P	-	-	P	-
Vehicle & Vehicular Equipment Sales & Service\Personal Vehicle Sales & Rentals	-	-	-	P	P	P	-	P	P	-
Vehicle & Vehicular Equipment Sales & Service\Vehicle Equipment & Supplies Sales & Rentals	-	-	-	P	-	P	P	P	P	-
Separately Regulated Vehicle & Vehicular Equipment Sales & Service Uses\Automobile Service Stations	L	L	L	L	L	L	L	L	L	C
"Separately Regulated Vehicle & Vehicular Equipment Sales & Service Uses\Outdoor Storage & Display of New, Unregistered Motor Vehicles as a Primary Use"	-	-	-	P	P	P	P	P	P	P
Separately Regulated Vehicle & Vehicular Equipment Sales & Service Uses\Vehicle Storage Facilities as a Primary Use	L	L	L	L	L	L	L	L	L	L
Distribution and Storage\Equipment & Materials Storage Yards	-	-	-	P	P	P	P	P	P	P
Distribution and Storage\Moving & Storage Facilities	-	-	-	P	P	P	P	P	P	-
Distribution and Storage\Distribution Facilities	P(Distribution facilities are permitted in the IP-1-1 zone only within the Otay Mesa Community Plan area.)	P	-	P	P	P	P	P	P	P
Separately Regulated Distribution and Storage Uses\Junk Yards	-	-	-	C	C	C	C	C	C	-
Separately Regulated Distribution and Storage Uses\Temporary Construction Storage Yards Located Off-site	L	L	L	L	L	L	L	L	L	L
Industrial\Heavy Manufacturing	-	-	-	-	-	-	P	P	-	-
Industrial\Light Manufacturing	P(See Section 131.0623(e).)	P	P(See Section 131.0623(e).)	P	P	P	P	P	P	P
Industrial\Marine Industry	-	-	-	P	P	P	P	P	P	P
Industrial\Research & Development	P	P	P	P	P	P	P	P	P	P
Industrial\Testing Labs	P	P	P	P	P	P	P	P	P	P
Industrial\Trucking & Transportation Terminals	P	P	P	P	P	P	P	P	P	P
Separately Regulated Industrial Uses\Artisan Food and Beverage Producer	-	-	-	-	-	-	-	-	-	-
Separately Regulated Industrial Uses\Cannabis Production Facilities	-	-	-	C	C	C	C	C	-	-
Separately Regulated Industrial Uses\Hazardous Waste Research Facility	C	C	C	C	C	C	C	C	C	C
Separately Regulated Industrial Uses\Hazardous Waste Treatment Facility	C	C	C	C	C	C	C	C	C	-
Separately Regulated Industrial Uses\Marine Related Uses Within the Coastal Overlay Zone	-	-	-	P	P	P	P	P	P	P
Separately Regulated Industrial Uses\Mining and Extractive Industries	-	C	-	C	C	C	C	C	C	-
Separately Regulated Industrial Uses\Newspaper Publishing Plants	C	P	C	P	P	P	P	P	P	P
Separately Regulated Industrial Uses\Processing & Packaging of Plant Products & Animal By-products Grown Off-premises	-	-	-	P	P	P	P	P	P	P
Separately Regulated Industrial Uses\Very Heavy Industrial Uses	-	-	-	-	-	-	C	C	-	-
Separately Regulated Industrial Uses\Wrecking & Dismantling of Motor Vehicles	-	-	-	C	C	C	P	C	C	-
Signs\Allowable Signs	P	P	P	P	P	P	P	P	P	P
Separately Regulated Signs Uses\Community Entry Signs	L	L	L	L	L	L	L	L	L	L
Separately Regulated Signs Uses\Neighborhood Identification Signs	-	-	-	-	-	-	-	-	-	-
Separately Regulated Signs Uses\Comprehensive Sign Program	N	N	N	N	N	N	N	N	N	N
Separately Regulated Signs Uses\Revolving Projecting Signs	N	N	N	N	N	N	N	N	N	N
Separately Regulated Signs Uses\Signs with Automatic Changing Copy	N	N	N	N	N	N	N	N	N	N
Separately Regulated Signs Uses\Theater Marquees	-	-	-	-	N	N	-	-	-	-
