	RM-1	RM-2	RM-3	RM-4	RM-5
Adult Entertainment Establishments\Adult Book Store	-	-	-	-	-
Adult Entertainment Establishments\Adult Cabaret	-	-	-	-	-
Adult Entertainment Establishments\Adult Drive-In Theater	-	-	-	-	-
Adult Entertainment Establishments\Adult Mini-Motion Picture Theater	-	-	-	-	-
Adult Entertainment Establishments\Adult Model Studio	-	-	-	-	-
Adult Entertainment Establishments\Adult Motel	-	-	-	-	-
Adult Entertainment Establishments\Adult Motion Picture Theater	-	-	-	-	-
Adult Entertainment Establishments\Adult Peep Show Theater	-	-	-	-	-
Adult Entertainment Establishments\Adult Theater	-	-	-	-	-
Adult Entertainment Establishments\Body Painting Studio	-	-	-	-	-
Adult Entertainment Establishments\Massage Establishment	-	-	-	-	-
Adult Entertainment Establishments\Sexual Encounter Establishment	-	-	-	-	-
"Adult Entertainment Establishments\Assembly and Entertainment Uses,"	L	L	L	L	L
Bed & Breakfast Establishments\1-2 Guest Rooms	L	L	L	P	P
Bed & Breakfast Establishments\3-5 Guest Rooms	N	N	L	P	P
Bed & Breakfast Establishments\6+ Guest Rooms	C	N	N	P	P
Bed & Breakfast Establishments\Boarding Kennels/ Pet Day Care	-	-	-	-	-
Bed & Breakfast Establishments\Camping Parks	-	-	-	-	-
Child Care Facilities\Child Care Centers	C	C	C	C	-
Child Care Facilities\Large Family Child Care Homes	L	L	L	L	-
Child Care Facilities\Small Family Child Care Homes	L	L	L	L	-
Child Care Facilities\Eating and Drinking Establishments with a Drive-in or Drive-through Component	-	-	-	-	-
Child Care Facilities\Fairgrounds	-	-	-	-	-
"Child Care Facilities\Golf Courses, Driving Ranges, and Pitch & Putt Courses"	C	C	C	C	-
Child Care Facilities\Helicopter Landing Facilities	-	-	-	-	-
"Child Care Facilities\Massage Establishments, Specialized Practice"	-	-	-	-	-
Child Care Facilities\Mobile Food Trucks	-	L(11)	L(11)	L(11)	L(11)
"Child Care Facilities\Nightclubs & Bars over 5,000 square feet in size"	-	-	-	-	-
Parking Facilities as a Primary Use\Permanent Parking Facilities	-	-	-	-	-
Parking Facilities as a Primary Use\Temporary Parking Facilities	-	-	-	-	-
"Parking Facilities as a Primary Use\Private Clubs, Lodges and Fraternal Organizations"	-	-	-	-	P
"Parking Facilities as a Primary Use\Privately Operated, Outdoor Recreation Facilities over 40,000 square feet in size(4)"	-	-	-	-	-
Pushcarts\Pushcarts on Private Property	-	-	-	-	-
Pushcarts\Pushcarts in Public Right of Way	-	-	-	-	-
Recycling Facilities\Large Collection Facility	-	-	-	-	-
Recycling Facilities\Small Collection Facility	-	-	-	-	-
Recycling Facilities\Large Construction & Demolition Debris Recycling Facility	-	-	-	-	-
Recycling Facilities\Small Construction & Demolition Debris Recycling Facility	-	-	-	-	-
Recycling Facilities\Drop-off Facility	-	-	-	-	-
Recycling Facilities\Green Materials Composting Facility	-	-	-	-	-
Recycling Facilities\Mixed Organic Composting Facility	-	-	-	-	-
Recycling Facilities\Large Processing Facility Accepting at Least 98% of Total Annual Weight of Recyclables from Commercial & Industrial Traffic	-	-	-	-	-
Recycling Facilities\Large Processing Facility Accepting All Types of Traffic	-	-	-	-	-
Recycling Facilities\Small Processing Facility Accepting at Least 98% of Total Annual Weight of Recyclables From	-	-	-	-	-
Commercial & Industrial Traffic\Small Processing Facility Accepting All Types of Traffic	-	-	-	-	-
Commercial & Industrial Traffic\Reverse Vending Machines	-	-	-	-	-
Commercial & Industrial Traffic\Tire Processing Facility	-	-	-	-	-
Commercial & Industrial Traffic\Sidewalk Cafes	-	-	-	-	-
Commercial & Industrial Traffic\Sports Arenas & Stadiums	-	-	-	-	-
"Commercial & Industrial Traffic\Theaters That Are Outdoor or over 5,000 Square Feet in Size"	-	-	-	-	-
Commercial & Industrial Traffic\Urgent Care Facility	-	-	-	-	-
Commercial & Industrial Traffic\Veterinary Clinics & Animal Hospitals	-	-	-	-	-
Commercial & Industrial Traffic\Zoological Parks	-	-	-	-	-
Offices\Business & Professional	-	-	P(7)	P(7)	P(7)
Offices\Government	-	-	-	-	-
"Offices\Medical, Dental, & Health Practitioner"	-	-	P(7)	P(7)	P(7)
Offices\Regional & Corporate Headquarters	-	-	-	-	-
Separately Regulated Office Uses\Real Estate Sales Offices & Model Homes	L	L	L	L	-
Separately Regulated Office Uses\Sex Offender Treatment & Counseling	-	-	L	L	-
Vehicle & Vehicular Equipment Sales & Service\Commercial Vehicle Repair & Maintenance	-	-	-	-	-
Vehicle & Vehicular Equipment Sales & Service\Commercial Vehicle Sales & Rentals	-	-	-	-	-
Personal Vehicle Repair & Maintenance\Personal Vehicle Sales & Rentals	-				
Personal Vehicle Repair & Maintenance\Vehicle Equipment & Supplies Sales & Rentals	-	-	-	-	-
Separately Regulated Vehicle & Vehicular Equipment Sales & Service Uses\Automobile Service Stations	-	-	-	-	-
"Separately Regulated Vehicle & Vehicular Equipment Sales & Service Uses\Outdoor Storage & Display of New, Unregistered Motor Vehicles as a Primary Use"	-	-	-	-	-
Distribution and Storage\Equipment & Materials Storage Yards	-	-	-	-	-
Distribution and Storage\Moving & Storage Facilities	-	-	-	-	-
Distribution and Storage\Distribution Facilities	-	-	-	-	-
Separately Regulated Distribution and Storage Uses\Impound Storage Yards	-	-	-	-	-
Separately Regulated Distribution and Storage Uses\Junk Yards	-	-	-	-	-
Separately Regulated Distribution and Storage Uses\Temporary Construction Storage Yards Located Off-site	N	N	N	N	-
Industrial\Heavy Manufacturing	-	-	-	-	-
Industrial\Light Manufacturing	-	-	-	-	-
Industrial\Marine Industry	-	-	-	-	-
Industrial\Research & Development	-	-	-	-	-
Industrial\Testing Labs	-	-	-	-	-
Industrial\Trucking & Transportation Terminals	-	-	-	-	-
Separately Regulated Industrial Uses\Artisan Food and Beverage Producer	-	-	-	-	-
Separately Regulated Industrial Uses\Hazardous Waste Research Facility	-	-	-	-	-
Separately Regulated Industrial Uses\Hazardous Waste Treatment Facility	-	-	-	-	-
Separately Regulated Industrial Uses\Marijuana Production Facilities	-	-	-	-	-
Separately Regulated Industrial Uses\Marine Related Uses Within the Coastal Overlay Zone	-	-	-	-	-
Separately Regulated Industrial Uses\Mining and Extractive Industries	-	-	-	-	-
Separately Regulated Industrial Uses\Newspaper Publishing Plants	-	-	-	-	-
Separately Regulated Industrial Uses\Processing & Packaging of Plant Products & Animal By-products Grown Off-premises	-	-	-	-	-
Separately Regulated Industrial Uses\Very Heavy Industrial Uses	-	-	-	-	-
Separately Regulated Industrial Uses\Wrecking & Dismantling of Motor Vehicles	-	-	-	-	-
Signs\Allowable Signs	P	P	P	P	P
Separately Regulated Signs Uses\Community Entry Signs	L	L	L	L	L
Separately Regulated Signs Uses\Neighborhood Identification Signs	N	N	N	N	N
Separately Regulated Signs Uses\Comprehensive Sign Program	-	-	-	-	-
Separately Regulated Signs Uses\Revolving Projecting Signs	-	-	-	-	-
Separately Regulated Signs Uses\Signs with Automatic Changing Copy	-	-	-	-	-
Separately Regulated Signs Uses\Theater Marquees	-				
