FRWY,FWY,FREEWAY
FWY,FWY,FREEWAY
GARDEN,GDN,GARDEN
GARDN,GDN,GARDEN
GRDEN,GDN,GARDEN
GRDN,GDN,GARDEN
GARDENS,GDNS,GARDENS
GDNS,GDNS,GARDENS
GRDNS,GDNS,GARDENS
GATEWAY,GTWY,GATEWAY
GATEWY,GTWY,GATEWAY
GATWAY,GTWY,GATEWAY
GTWAY,GTWY,GATEWAY
GTWY,GTWY,GATEWAY
GLEN,GLN,GLEN
GLN,GLN,GLEN
GLENS,GLNS,GLENS
GREEN,GRN,GREEN
GRN,GRN,GREEN
GREENS,GRNS,GREENS
GROV,GRV,GROVE
GROVE,GRV,GROVE
GRV,GRV,GROVE
GROVES,GRVS,GROVES
HARB,HBR,HARBOR
HARBOR,HBR,HARBOR
HARBR,HBR,HARBOR
HBR,HBR,HARBOR
HRBOR,HBR,HARBOR
HARBORS,HBRS,HARBORS
HAVEN,HVN,HAVEN
HVN,HVN,HAVEN
HT,HTS,HEIGHTS
HTS,HTS,HEIGHTS
HIGHWAY,HWY,HIGHWAY
HIGHWY,HWY,HIGHWAY
HIWAY,HWY,HIGHWAY
HIWY,HWY,HIGHWAY
HWAY,HWY,HIGHWAY
HWY,HWY,HIGHWAY
HILL,HL,HILL
HL,HL,HILL
HILLS,HLS,HILLS
HLS,HLS,HILLS
HLLW,HOLW,HOLLOW
HOLLOW,HOLW,HOLLOW
HOLLOWS,HOLW,HOLLOW
HOLW,HOLW,HOLLOW
HOLWS,HOLW,HOLLOW
INLT,INLT,INLET
IS,IS,ISLAND
ISLAND,IS,ISLAND
ISLND,IS,ISLAND
ISLANDS,ISS,ISLANDS
ISLNDS,ISS,ISLANDS
ISS,ISS,ISLANDS
ISLE,ISLE,ISLE
ISLES,ISLE,ISLE
JCT,JCT,JUNCTION
JCTION,JCT,JUNCTION
JCTN,JCT,JUNCTION
JUNCTION,JCT,JUNCTION
JUNCTN,JCT,JUNCTION
JUNCTON,JCT,JUNCTION
JCTNS,JCTS,JUNCTIONS
JCTS,JCTS,JUNCTIONS
JUNCTIONS,JCTS,JUNCTIONS
KEY,KY,KEY
KY,KY,KEY
KEYS,KYS,KEYS
KYS,KYS,KEYS
KNL,KNL,KNOLL
KNOL,KNL,KNOLL
KNOLL,KNL,KNOLL
KNLS,KNLS,KNOLLS
KNOLLS,KNLS,KNOLLS
LK,LK,LAKE
LAKE,LK,LAKE
LKS,LKS,LAKES
LAKES,LKS,LAKES
LAND,LAND,LAND
LANDING,LNDG,LANDING
LNDG,LNDG,LANDING
LNDNG,LNDG,LANDING
LANE,LN,LANE
LN,LN,LANE
LGT,LGT,LIGHT
LIGHT,LGT,LIGHT
LIGHTS,LGTS,LIGHTS
LF,LF,LOAF
LOAF,LF,LOAF
LCK,LCK,LOCK
LOCK,LCK,LOCK
LCKS,LCKS,LOCKS
LOCKS,LCKS,LOCKS
LDG,LDG,LODGE
LDGE,LDG,LODGE
LODG,LDG,LODGE
LODGE,LDG,LODGE
LOOP,LOOP,LOOP
LOOPS,LOOP,LOOP
MALL,MALL,MALL
MNR,MNR,MANOR
MANOR,MNR,MANOR
MANORS,MNRS,MANORS
MNRS,MNRS,MANORS
MEADOW,MDW,MEADOW
MDW,MDWS,MEADOWS
MDWS,MDWS,MEADOWS
MEADOWS,MDWS,MEADOWS
MEDOWS,MDWS,MEADOWS
MEWS,MEWS,MEWS
MILL,ML,MILL
MILLS,MLS,MILLS
MISSN,MSN,MISSION
MSSN,MSN,MISSION
MOTORWAY,MTWY,MOTORWAY
MNT,MT,MOUNT
MT,MT,MOUNT
MOUNT,MT,MOUNT
MNTAIN,MTN,MOUNTAIN
MNTN,MTN,MOUNTAIN
MOUNTAIN,MTN,MOUNTAIN
MOUNTIN,MTN,MOUNTAIN
MTIN,MTN,MOUNTAIN
MTN,MTN,MOUNTAIN
MNTNS,MTNS,MOUNTAINS
MOUNTAINS,MTNS,MOUNTAINS
NCK,NCK,NECK
NECK,NCK,NECK
ORCH,ORCH,ORCHARD
ORCHARD,ORCH,ORCHARD
ORCHRD,ORCH,ORCHARD
OVAL,OVAL,OVAL
OVL,OVAL,OVAL
OVERPASS,OPAS,OVERPASS
PARK,PARK,PARK
PRK,PARK,PARK
PARKS,PARK,PARKS
PARKWAY,PKWY,PARKWAY
PARKWY,PKWY,PARKWAY
PKWAY,PKWY,PARKWAY
PKWY,PKWY,PARKWAY
PKY,PKWY,PARKWAY
PARKWAYS,PKWY,PARKWAYS
PKWYS,PKWY,PARKWAYS
PASS,PASS,PASS
PASSAGE,PSGE,PASSAGE
PATH,PATH,PATH
PATHS,PATH,PATH
PIKE,PIKE,PIKE
PIKES,PIKE,PIKE
PINE,PNE,PINE
PINES,PNES,PINES
PNES,PNES,PINES
PL,PL,PLACE
PLAIN,PLN,PLAIN
PLN,PLN,PLAIN
PLAINS,PLNS,PLAINS
PLNS,PLNS,PLAINS
PLAZA,PLZ,PLAZA
PLZ,PLZ,PLAZA
PLZA,PLZ,PLAZA
POINT,PT,POINT
PT,PT,POINT
POINTS,PTS,POINTS
PTS,PTS,POINTS
PORT,PRT,PORT
PRT,PRT,PORT
PORTS,PRTS,PORTS
PRTS,PRTS,PORTS
PR,PR,PRAIRIE
PRAIRIE,PR,PRAIRIE
PRR,PR,PRAIRIE
RAD,RADL,RADIAL
RADIAL,RADL,RADIAL
RADIEL,RADL,RADIAL
RADL,RADL,RADIAL
RAMP,RAMP,RAMP
RANCH,RNCH,RANCH
RANCHES,RNCH,RANCH
RNCH,RNCH,RANCH
RNCHS,RNCH,RANCH
RAPID,RPD,RAPID
RPD,RPD,RAPID
RAPIDS,RPDS,RAPIDS
RPDS,RPDS,RAPIDS
REST,RST,REST
RST,RST,REST
RDG,RDG,RIDGE
RDGE,RDG,RIDGE
RIDGE,RDG,RIDGE
RDGS,RDGS,RIDGES
RIDGES,RDGS,RIDGES
RIV,RIV,RIVER
RIVER,RIV,RIVER
RVR,RIV,RIVER
RIVR,RIV,RIVER
RD,RD,ROAD
ROAD,RD,ROAD
ROADS,RDS,ROADS
RDS,RDS,ROADS
ROUTE,RTE,ROUTE
ROW,ROW,ROW
RUE,RUE,RUE
RUN,RUN,RUN
SHL,SHL,SHOAL
SHOAL,SHL,SHOAL
SHLS,SHLS,SHOALS
SHOALS,SHLS,SHOALS
SHOAR,SHR,SHORE
SHORE,SHR,SHORE
SHR,SHR,SHORE
SHOARS,SHRS,SHORES
SHORES,SHRS,SHORES
SHRS,SHRS,SHORES
SKYWAY,SKWY,SKYWAY
SPG,SPG,SPRING
SPNG,SPG,SPRING
SPRING,SPG,SPRING
SPRNG,SPG,SPRING
SPGS,SPGS,SPRINGS
SPNGS,SPGS,SPRINGS
SPRINGS,SPGS,SPRINGS
SPRNGS,SPGS,SPRINGS
SPUR,SPUR,SPUR
SPURS,SPUR,SPURS
SQ,SQ,SQUARE
SQR,SQ,SQUARE
SQRE,SQ,SQUARE
SQU,SQ,SQUARE
SQUARE,SQ,SQUARE
SQRS,SQS,SQUARES
SQUARES,SQS,SQUARES
STA,STA,STATION
STATION,STA,STATION
STATN,STA,STATION
STN,STA,STATION
STRA,STRA,STRAVENUE
STRAV,STRA,STRAVENUE
STRAVEN,STRA,STRAVENUE
STRAVENUE,STRA,STRAVENUE
STRAVN,STRA,STRAVENUE
STRVN,STRA,STRAVENUE
STRVNUE,STRA,STRAVENUE
STREAM,STRM,STREAM
STREME,STRM,STREAM
STRM,STRM,STREAM
STREET,ST,STREET
STRT,ST,STREET
ST,ST,STREET
STR,ST,STREET
STREETS,STS,STREETS
SMT,SMT,SUMMIT
SUMIT,SMT,SUMMIT
SUMITT,SMT,SUMMIT
SUMMIT,SMT,SUMMIT
TER,TER,TERRACE
TERR,TER,TERRACE
TERRACE,TER,TERRACE
THROUGHWAY,TRWY,THROUGHWAY
TRACE,TRCE,TRACE
TRACES,TRCE,TRACE
TRCE,TRCE,TRACE
TRACK,TRAK,TRACK
TRACKS,TRAK,TRACK
TRAK,TRAK,TRACK
TRK,TRAK,TRACK
TRKS,TRAK,TRACK
TRAFFICWAY,TRFY,TRAFFICWAY
TRAIL,TRL,TRAIL
TRAILS,TRL,TRAIL
TRL,TRL,TRAIL
TRLS,TRL,TRAIL
TRAILER,TRLR,TRAILER
TRLR,TRLR,TRAILER
TRLRS,TRLR,TRAILER
TUNEL,TUNL,TUNNEL
TUNL,TUNL,TUNNEL
TUNLS,TUNL,TUNNEL
TUNNEL,TUNL,TUNNEL
TUNNELS,TUNL,TUNNEL
TUNNL,TUNL,TUNNEL
TRNPK,TPKE,TURNPIKE
TURNPIKE,TPKE,TURNPIKE
TURNPK,TPKE,TURNPIKE
UNDERPASS,UPAS,UNDERPASS
UN,UN,UNION
UNION,UN,UNION
UNIONS,UNS,UNIONS
VALLEY,VLY,VALLEY
VALLY,VLY,VALLEY
VLLY,VLY,VALLEY
VLY,VLY,VALLEY
VALLEYS,VLYS,VALLEYS
VLYS,VLYS,VALLEYS
VDCT,VIA,VIADUCT
VIA,VIA,VIADUCT
VIADCT,VIA,VIADUCT
VIADUCT,VIA,VIADUCT
VIEW,VW,VIEW
VW,VW,VIEW
VIEWS,VWS,VIEWS
VWS,VWS,VIEWS
VILL,VLG,VILLAGE
VILLAG,VLG,VILLAGE
VILLAGE,VLG,VILLAGE
VILLG,VLG,VILLAGE
VILLIAGE,VLG,VILLAGE
VLG,VLG,VILLAGE
VILLAGES,VLGS,VILLAGES
VLGS,VLGS,VILLAGES
VILLE,VL,VILLE
VL,VL,VILLE
VIS,VIS,VISTA
VIST,VIS,VISTA
VISTA,VIS,VISTA
VST,VIS,VISTA
VSTA,VIS,VISTA
WALK,WALK,WALK
WALKS,WALK,WALKS
WALL,WALL,WALL
WY,WAY,WAY
WAY,WAY,WAY
WAYS,WAYS,WAYS
WELL,WL,WELL
WELLS,WLS,WELLS
WLS,WLS,WELLS
